date,Subsidiary,Oil losses (bopd),Wells WWO,
01/01/2023 00:00,,0,0,
01/01/2023 00:00,,0,0,
01/01/2023 00:00,AUN,0,0,
01/01/2023 00:00,BNR,0,0,
01/01/2023 00:00,BIR,2811.9,12,
01/01/2023 00:00,BS,0,0,
01/01/2023 00:00,BZ,0,0,
01/01/2023 00:00,CCS,0,0,
01/01/2023 00:00,CAD,930.3,26,
01/01/2023 00:00,CG,1676.85,16,
01/01/2023 00:00,CMI,1223.25,22,
01/01/2023 00:00,COQ,952.35,14,
01/01/2023 00:00,EC,0,0,
01/01/2023 00:00,EG,0,0,
01/01/2023 00:00,ER,0,0,
01/01/2023 00:00,SFR,0,0,
01/01/2023 00:00,GAE,1904.7,24,
01/01/2023 00:00,GUT,0,0,
01/01/2023 00:00,IQ,0,0,
01/01/2023 00:00,LH,0,0,
01/01/2023 00:00,MIX,454.65,7,
01/01/2023 00:00,PE,0,0,
01/01/2023 00:00,SG,0,0,
01/01/2023 00:00,TOD,365.4,1,
01/01/2023 00:00,TIN,728.7,4,
01/01/2023 00:00,TOR,36.75,4,
01/01/2023 00:00,TOTO,31.5,2,
01/01/2023 00:00,KFC,0,2,
01/01/2023 00:00,WSK,2.1,1,
01/01/2023 00:00,US,0,0,
01/01/2023 00:00,VE,0,0,
01/01/2023 00:00,VIN,0,0,
01/01/2023 00:00,WE,0,0,
02/01/2023 00:00,,0,0,
02/01/2023 00:00,,0,0,
02/01/2023 00:00,AUN,0,0,
02/01/2023 00:00,BNR,0,0,
02/01/2023 00:00,BIR,2811.9,12,
02/01/2023 00:00,BS,0,0,
02/01/2023 00:00,BZ,0,0,
02/01/2023 00:00,CCS,0,0,
02/01/2023 00:00,CAD,1052.1,24,
02/01/2023 00:00,CG,1773.45,17,
02/01/2023 00:00,CMI,1274.7,22,
02/01/2023 00:00,COQ,906.15,13,
02/01/2023 00:00,EC,0,0,
02/01/2023 00:00,EG,0,0,
02/01/2023 00:00,ER,0,0,
02/01/2023 00:00,SFR,0,0,
02/01/2023 00:00,GAE,2365.65,25,
02/01/2023 00:00,GUT,0,0,
02/01/2023 00:00,IQ,0,0,
02/01/2023 00:00,LH,0,0,
02/01/2023 00:00,MIX,454.65,7,
02/01/2023 00:00,PE,0,0,
02/01/2023 00:00,SG,0,0,
02/01/2023 00:00,TOD,365.4,1,
02/01/2023 00:00,TIN,728.7,4,
02/01/2023 00:00,TOR,3.15,2,
02/01/2023 00:00,TOTO,31.5,1,
02/01/2023 00:00,KFC,0,2,
02/01/2023 00:00,WSK,2.1,1,
02/01/2023 00:00,US,0,0,
02/01/2023 00:00,VE,0,0,
02/01/2023 00:00,VIN,0,0,
02/01/2023 00:00,WE,0,0,
03/01/2023 00:00,,0,0,
03/01/2023 00:00,,0,0,
03/01/2023 00:00,AUN,0,0,
03/01/2023 00:00,BNR,0,0,
03/01/2023 00:00,BIR,2811.9,12,
03/01/2023 00:00,BS,0,0,
03/01/2023 00:00,BZ,0,0,
03/01/2023 00:00,CCS,0,0,
03/01/2023 00:00,CAD,875.7,24,
03/01/2023 00:00,CG,1579.2,14,
03/01/2023 00:00,CMI,1292.55,22,
03/01/2023 00:00,COQ,895.65,13,
03/01/2023 00:00,EC,0,0,
03/01/2023 00:00,EG,0,0,
03/01/2023 00:00,ER,0,0,
03/01/2023 00:00,SFR,0,0,
03/01/2023 00:00,GAE,2257.5,24,
03/01/2023 00:00,GUT,0,0,
03/01/2023 00:00,IQ,0,0,
03/01/2023 00:00,LH,0,0,
03/01/2023 00:00,MIX,454.65,7,
03/01/2023 00:00,PE,0,0,
03/01/2023 00:00,SG,0,0,
03/01/2023 00:00,TOD,365.4,1,
03/01/2023 00:00,TIN,728.7,4,
03/01/2023 00:00,TOR,9.45,4,
03/01/2023 00:00,TOTO,31.5,1,
03/01/2023 00:00,KFC,1.05,5,
03/01/2023 00:00,WSK,2.1,1,
03/01/2023 00:00,US,0,0,
03/01/2023 00:00,VE,0,0,
03/01/2023 00:00,VIN,0,0,
03/01/2023 00:00,WE,0,0,
04/01/2023 00:00,,0,0,
04/01/2023 00:00,,0,0,
04/01/2023 00:00,AUN,0,0,
04/01/2023 00:00,BNR,0,0,
04/01/2023 00:00,BIR,2841.3,12,
04/01/2023 00:00,BS,0,0,
04/01/2023 00:00,BZ,0,0,
04/01/2023 00:00,CCS,0,0,
04/01/2023 00:00,CAD,1021.65,20,
04/01/2023 00:00,CG,1431.15,16,
04/01/2023 00:00,CMI,1201.2,22,
04/01/2023 00:00,COQ,895.65,13,
04/01/2023 00:00,EC,0,0,
04/01/2023 00:00,EG,0,0,
04/01/2023 00:00,ER,0,0,
04/01/2023 00:00,SFR,0,0,
04/01/2023 00:00,GAE,2174.55,26,
04/01/2023 00:00,GUT,0,0,
04/01/2023 00:00,IQ,0,0,
04/01/2023 00:00,LH,0,0,
04/01/2023 00:00,MIX,454.65,7,
04/01/2023 00:00,PE,0,0,
04/01/2023 00:00,SG,0,0,
04/01/2023 00:00,TOD,365.4,1,
04/01/2023 00:00,TIN,728.7,4,
04/01/2023 00:00,TOR,9.45,4,
04/01/2023 00:00,TOTO,31.5,1,
04/01/2023 00:00,KFC,1.05,5,
04/01/2023 00:00,WSK,2.1,1,
04/01/2023 00:00,US,0,0,
04/01/2023 00:00,VE,0,0,
04/01/2023 00:00,VIN,0,0,
04/01/2023 00:00,WE,0,0,
05/01/2023 00:00,,0,0,
05/01/2023 00:00,,0,0,
05/01/2023 00:00,AUN,0,0,
05/01/2023 00:00,BNR,0,0,
05/01/2023 00:00,BIR,2893.8,13,
05/01/2023 00:00,BS,0,0,
05/01/2023 00:00,BZ,0,0,
05/01/2023 00:00,CCS,0,0,
05/01/2023 00:00,CAD,580.65,19,
05/01/2023 00:00,CG,1431.15,16,
05/01/2023 00:00,CMI,1372.35,23,
05/01/2023 00:00,COQ,953.4,14,
05/01/2023 00:00,EC,0,0,
05/01/2023 00:00,EG,0,0,
05/01/2023 00:00,ER,0,0,
05/01/2023 00:00,SFR,0,0,
05/01/2023 00:00,GAE,3675,26,
05/01/2023 00:00,GUT,0,0,
05/01/2023 00:00,IQ,0,0,
05/01/2023 00:00,LH,0,0,
05/01/2023 00:00,MIX,95.55,4,
05/01/2023 00:00,PE,0,0,
05/01/2023 00:00,SG,0,0,
05/01/2023 00:00,TOD,365.4,1,
05/01/2023 00:00,TIN,728.7,4,
05/01/2023 00:00,TOR,9.45,4,
05/01/2023 00:00,TOTO,31.5,1,
05/01/2023 00:00,KFC,1.05,5,
05/01/2023 00:00,WSK,89.25,1,
05/01/2023 00:00,US,0,0,
05/01/2023 00:00,VE,0,0,
05/01/2023 00:00,VIN,0,0,
05/01/2023 00:00,WE,0,0,
06/01/2023 00:00,,0,0,
06/01/2023 00:00,,0,0,
06/01/2023 00:00,AUN,0,0,
06/01/2023 00:00,BNR,0,0,
06/01/2023 00:00,BIR,2893.8,13,
06/01/2023 00:00,BS,0,0,
06/01/2023 00:00,BZ,0,0,
06/01/2023 00:00,CCS,0,0,
06/01/2023 00:00,CAD,883.05,22,
06/01/2023 00:00,CG,1609.65,17,
06/01/2023 00:00,CMI,1255.8,22,
06/01/2023 00:00,COQ,976.5,14,
06/01/2023 00:00,EC,0,0,
06/01/2023 00:00,EG,0,0,
06/01/2023 00:00,ER,0,0,
06/01/2023 00:00,SFR,0,0,
06/01/2023 00:00,GAE,4657.8,22,
06/01/2023 00:00,GUT,0,0,
06/01/2023 00:00,IQ,0,0,
06/01/2023 00:00,LH,0,0,
06/01/2023 00:00,MIX,95.55,4,
06/01/2023 00:00,PE,0,0,
06/01/2023 00:00,SG,0,0,
06/01/2023 00:00,TOD,365.4,1,
06/01/2023 00:00,TIN,174.3,2,
06/01/2023 00:00,TOR,9.45,4,
06/01/2023 00:00,TOTO,31.5,1,
06/01/2023 00:00,KFC,1.05,5,
06/01/2023 00:00,WSK,137.55,1,
06/01/2023 00:00,US,0,0,
06/01/2023 00:00,VE,0,0,
06/01/2023 00:00,VIN,0,0,
06/01/2023 00:00,WE,0,0,
07/01/2023 00:00,,0,0,
07/01/2023 00:00,,0,0,
07/01/2023 00:00,AUN,0,0,
07/01/2023 00:00,BNR,0,0,
07/01/2023 00:00,BIR,2893.8,13,
07/01/2023 00:00,BS,0,0,
07/01/2023 00:00,BZ,0,0,
07/01/2023 00:00,CCS,0,0,
07/01/2023 00:00,CAD,1039.5,22,
07/01/2023 00:00,CG,1609.65,17,
07/01/2023 00:00,CMI,1255.8,22,
07/01/2023 00:00,COQ,970.2,14,
07/01/2023 00:00,EC,0,0,
07/01/2023 00:00,EG,0,0,
07/01/2023 00:00,ER,0,0,
07/01/2023 00:00,SFR,0,0,
07/01/2023 00:00,GAE,5216.4,23,
07/01/2023 00:00,GUT,0,0,
07/01/2023 00:00,IQ,0,0,
07/01/2023 00:00,LH,0,0,
07/01/2023 00:00,MIX,95.55,4,
07/01/2023 00:00,PE,0,0,
07/01/2023 00:00,SG,0,0,
07/01/2023 00:00,TOD,365.4,1,
07/01/2023 00:00,TIN,728.7,4,
07/01/2023 00:00,TOR,9.45,4,
07/01/2023 00:00,TOTO,31.5,1,
07/01/2023 00:00,KFC,1.05,5,
07/01/2023 00:00,WSK,2.1,1,
07/01/2023 00:00,US,0,0,
07/01/2023 00:00,VE,0,0,
07/01/2023 00:00,VIN,0,0,
07/01/2023 00:00,WE,0,0,
08/01/2023 00:00,,0,0,
08/01/2023 00:00,,0,0,
08/01/2023 00:00,AUN,0,0,
08/01/2023 00:00,BNR,0,0,
08/01/2023 00:00,BIR,2893.8,13,
08/01/2023 00:00,BS,0,0,
08/01/2023 00:00,BZ,0,0,
08/01/2023 00:00,CCS,0,0,
08/01/2023 00:00,CAD,1074.15,23,
08/01/2023 00:00,CG,1556.1,16,
08/01/2023 00:00,CMI,843.15,13,
08/01/2023 00:00,COQ,875.7,12,
08/01/2023 00:00,EC,0,0,
08/01/2023 00:00,EG,0,0,
08/01/2023 00:00,ER,0,0,
08/01/2023 00:00,SFR,0,0,
08/01/2023 00:00,GAE,5383.35,25,
08/01/2023 00:00,GUT,0,0,
08/01/2023 00:00,IQ,0,0,
08/01/2023 00:00,LH,0,0,
08/01/2023 00:00,MIX,95.55,4,
08/01/2023 00:00,PE,0,0,
08/01/2023 00:00,SG,0,0,
08/01/2023 00:00,TOD,365.4,1,
08/01/2023 00:00,TIN,728.7,4,
