date,Subsidiary,Oil losses (bopd),Wells WWO
2023-01-01 00:00:00,,,0
2023-01-01 00:00:00,"",,0
2023-01-01 00:00:00,AU,,0
2023-01-01 00:00:00,BN,,0
2023-01-01 00:00:00,BR,2678,10
2023-01-01 00:00:00,BS,,0
2023-01-01 00:00:00,BZ,,0
2023-01-01 00:00:00,CCS,,0
2023-01-01 00:00:00,CD,886,22
2023-01-01 00:00:00,CG,1597,13
2023-01-01 00:00:00,CM,1165,18
2023-01-01 00:00:00,CO,907,12
2023-01-01 00:00:00,EC,,0
2023-01-01 00:00:00,EG,,0
2023-01-01 00:00:00,ER,,0
2023-01-01 00:00:00,FR,,0
2023-01-01 00:00:00,GA,1814,20
2023-01-01 00:00:00,GT,,0
2023-01-01 00:00:00,IQ,,0
2023-01-01 00:00:00,LH,,0
2023-01-01 00:00:00,MX,433,6
2023-01-01 00:00:00,PE,,0
2023-01-01 00:00:00,SG,,0
2023-01-01 00:00:00,TD,348,1
2023-01-01 00:00:00,TN,694,3
2023-01-01 00:00:00,TR,35,3
2023-01-01 00:00:00,TT,30,2
2023-01-01 00:00:00,UKS,,2
2023-01-01 00:00:00,UKW,2,1
2023-01-01 00:00:00,US,,0
2023-01-01 00:00:00,VE,,0
2023-01-01 00:00:00,VN,,0
2023-01-01 00:00:00,WE,,0
2023-01-02 00:00:00,,,0
2023-01-02 00:00:00,"",,0
2023-01-02 00:00:00,AU,,0
2023-01-02 00:00:00,BN,,0
2023-01-02 00:00:00,BR,2678,10
2023-01-02 00:00:00,BS,,0
2023-01-02 00:00:00,BZ,,0
2023-01-02 00:00:00,CCS,,0
2023-01-02 00:00:00,CD,1002,20
2023-01-02 00:00:00,CG,1689,14
2023-01-02 00:00:00,CM,1214,18
2023-01-02 00:00:00,CO,863,11
2023-01-02 00:00:00,EC,,0
2023-01-02 00:00:00,EG,,0
2023-01-02 00:00:00,ER,,0
2023-01-02 00:00:00,FR,,0
2023-01-02 00:00:00,GA,2253,21
2023-01-02 00:00:00,GT,,0
2023-01-02 00:00:00,IQ,,0
2023-01-02 00:00:00,LH,,0
2023-01-02 00:00:00,MX,433,6
2023-01-02 00:00:00,PE,,0
2023-01-02 00:00:00,SG,,0
2023-01-02 00:00:00,TD,348,1
2023-01-02 00:00:00,TN,694,3
2023-01-02 00:00:00,TR,3,2
2023-01-02 00:00:00,TT,30,1
2023-01-02 00:00:00,UKS,,2
2023-01-02 00:00:00,UKW,2,1
2023-01-02 00:00:00,US,,0
2023-01-02 00:00:00,VE,,0
2023-01-02 00:00:00,VN,,0
2023-01-02 00:00:00,WE,,0
2023-01-03 00:00:00,,,0
2023-01-03 00:00:00,"",,0
2023-01-03 00:00:00,AU,,0
2023-01-03 00:00:00,BN,,0
2023-01-03 00:00:00,BR,2678,10
2023-01-03 00:00:00,BS,,0
2023-01-03 00:00:00,BZ,,0
2023-01-03 00:00:00,CCS,,0
2023-01-03 00:00:00,CD,834,20
2023-01-03 00:00:00,CG,1504,12
2023-01-03 00:00:00,CM,1231,18
2023-01-03 00:00:00,CO,853,11
2023-01-03 00:00:00,EC,,0
2023-01-03 00:00:00,EG,,0
2023-01-03 00:00:00,ER,,0
